OF9,OF10,OF11,OF19,OF20,OF21,OF22,OF23,OF24,F13,F40,F50,F51,F52,F66,S2,NR_Benefit,NR Benefit Rating
4,2,4,0.09183673469387756,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.0,3.72,1
4,2,5,0.09183673469387756,3,3,0,0,2,0,1,4,0,0,137.2142857142857,0.4444444444444444,0.0,0
4,2,4,0.09183673469387756,3,3,0,0,2,0,1,4,0,0,137.2142857142857,0.0,0.0,0
0,2,4,0.09183673469387756,3,3,2,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
0,1,5,0.09183673469387756,3,3,0,0,1,2,1,4,0,0,137.2142857142857,0.0,10.0,2
3,2,2,0.09183673469387756,3,3,1,0,1,0,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,5,0.09183673469387756,3,3,2,0,1,1,2,0,1,1,137.2142857142857,0.0,5.66,1
3,2,4,0.09183673469387756,3,3,2,0,1,4,0,2,1,1,137.2142857142857,0.0,4.76,1
4,2,5,0.09183673469387756,3,3,1,0,1,4,0,4,0,0,137.2142857142857,0.0,5.06,1
1,1,3,0.09183673469387756,3,3,0,0,1,4,0,4,0,0,353.0,0.0,10.0,2
2,1,1,0.09183673469387756,3,3,1,1,2,4,0,4,0,0,230.0,0.0,10.0,2
1,2,4,0.09183673469387756,3,3,1,0,1,4,0,4,0,0,137.2142857142857,0.0,5.06,1
3,2,3,0.09183673469387756,3,3,2,0,2,3,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,3,0.09183673469387756,3,3,2,0,2,2,0,4,0,0,230.0,0.0,0.0,0
0,1,0,0.09183673469387756,3,3,2,0,1,2,0,3,0,1,780.0,0.4444444444444444,10.0,2
2,2,4,0.09183673469387756,3,3,1,0,1,0,0,3,1,2,137.2142857142857,0.0,4.02,1
4,2,4,0.09183673469387756,3,3,1,0,2,1,0,4,0,0,245.0,0.0,0.0,0
3,1,4,0.09183673469387756,3,3,0,0,2,1,0,4,0,0,137.2142857142857,0.0,10.0,2
0,1,4,0.09183673469387756,3,3,1,0,1,1,0,3,1,1,199.0,0.0,10.0,2
0,2,0,0.09183673469387756,3,3,0,0,2,1,0,2,1,1,137.2142857142857,0.0,3.269230769230769,1
3,2,4,0.09183673469387756,3,3,3,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
2,1,4,0.09183673469387756,3,3,1,1,2,0,0,4,0,0,137.2142857142857,0.3333333333333333,10.0,2
4,2,4,0.09183673469387756,3,3,1,0,1,0,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,4,0.09183673469387756,3,3,2,0,2,0,1,4,0,0,137.2142857142857,0.0,0.0,0
0,1,4,0.09183673469387756,3,3,2,0,2,2,0,4,0,0,137.2142857142857,0.0,10.0,2
4,2,4,0.09183673469387756,3,3,0,0,2,1,0,3,0,1,163.0,0.5555555555555556,3.717948717948718,1
3,2,4,0.09183673469387756,3,3,0,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
4,2,4,0.09183673469387756,3,3,3,0,2,0,0,4,0,0,137.2142857142857,0.0,10.0,2
3,2,4,0.09183673469387756,3,0,0,0,2,0,0,4,0,0,137.2142857142857,0.0,10.0,2
3,2,5,0.09183673469387756,3,3,2,0,2,0,0,4,0,0,210.0,0.0,0.0,0
4,2,5,0.09183673469387756,3,3,2,0,2,1,0,4,0,0,137.2142857142857,0.0,0.0,0
3,2,4,0.09183673469387756,3,3,3,0,2,0,0,4,0,0,137.2142857142857,0.0,0.0,0
0,1,4,0.09183673469387756,0,1,2,1,2,0,0,3,1,0,90.0,0.0,10.0,2
3,2,4,0.09183673469387756,3,3,1,0,2,1,1,4,0,0,137.2142857142857,0.0,3.72,1
1,1,4,0.09183673469387756,3,3,1,0,1,1,0,3,1,0,137.2142857142857,0.0,10.0,2
3,2,4,0.09183673469387756,3,3,0,0,2,1,2,3,1,1,137.2142857142857,0.0,4.62,1
3,2,3,0.09183673469387756,3,3,0,2,1,2,1,4,0,0,137.2142857142857,0.0,5.96,1
1,1,4,0.09183673469387756,3,3,1,0,2,0,0,4,0,0,137.2142857142857,0.0,10.0,2
1,0,4,0.09183673469387756,3,3,0,1,2,0,0,4,0,0,137.2142857142857,0.0,10.0,2
3,2,4,0.09183673469387756,3,3,0,0,2,0,0,4,0,0,137.2142857142857,0.0,4.62,1
